,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
148,07/05/2022,0,25069705.294117708,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
149,07/06/2022,0,25117969.3553422,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
150,07/07/2022,0,25166233.41656669,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
151,07/08/2022,0,25214497.47779118,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
152,07/09/2022,0,25262761.53901567,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
153,07/10/2022,0,25311025.60024016,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
154,07/11/2022,0,25359289.66146465,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
155,07/12/2022,0,25407553.72268914,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
156,07/13/2022,0,25455817.78391363,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
157,07/14/2022,0,25504081.84513812,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
158,07/15/2022,0,25552345.90636261,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
159,07/16/2022,0,25600609.967587102,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
160,07/17/2022,0,25648874.028811593,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
161,07/18/2022,0,25697138.090036083,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
162,07/19/2022,0,25745402.151260573,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
163,07/20/2022,0,25793666.212485064,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
164,07/21/2022,0,25841930.273709554,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
165,07/22/2022,0,25890194.334934045,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
166,07/23/2022,0,25938458.396158535,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
167,07/24/2022,0,25986722.457383025,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
168,07/25/2022,0,26034986.518607516,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
169,07/26/2022,0,26083250.579832006,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
170,07/27/2022,0,26131514.641056497,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
171,07/28/2022,0,26179778.702280987,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
172,07/29/2022,0,26228042.763505477,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
173,07/30/2022,0,26276306.824729968,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
174,07/31/2022,0,26324570.88595446,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
175,08/01/2022,0,26372834.94717895,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
176,08/02/2022,0,26421099.00840344,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
177,08/03/2022,0,26469363.06962793,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
178,08/04/2022,0,26517627.13085242,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
179,08/05/2022,0,26565891.19207691,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
180,08/06/2022,0,26614155.2533014,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
181,08/07/2022,0,26662419.31452589,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
182,08/08/2022,0,26710683.37575038,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
183,08/09/2022,0,26758947.436974872,37212169.64705882,271877992.72244,135250077.16404125,154745235.74509805,0.0,0.0,0.0,0.0,48264.061224490404
