,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
241,10/06/2022,0,0,8460490.621748762,55774023.88905544,40319496.46778726,49466528.38945612,317327.1683673486,260989.2857142836,403888.1377551034,95665.68877551053,0
242,10/07/2022,0,0,8556156.310524272,56177912.02681054,40580485.75350154,49783855.55782347,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
243,10/08/2022,0,0,8651821.999299781,56581800.164565645,40841475.039215825,50101182.72619082,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
244,10/09/2022,0,0,8747487.688075291,56985688.30232075,41102464.32493011,50418509.89455817,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
245,10/10/2022,0,0,8843153.3768508,57389576.44007585,41363453.61064439,50735837.06292552,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
246,10/11/2022,0,0,8938819.06562631,57793464.577830955,41624442.896358676,51053164.231292866,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
247,10/12/2022,0,0,9034484.75440182,58197352.71558606,41885432.18207296,51370491.399660215,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
248,10/13/2022,0,0,9130150.44317733,58601240.85334116,42146421.46778724,51687818.56802756,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
249,10/14/2022,0,0,9225816.131952839,59005128.991096266,42407410.75350153,52005145.73639491,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
250,10/15/2022,0,0,9321481.820728349,59409017.12885137,42668400.03921581,52322472.90476226,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
251,10/16/2022,0,0,9417147.509503858,59812905.26660647,42929389.324930094,52639800.07312961,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
252,10/17/2022,0,0,9512813.198279368,60216793.404361576,43190378.61064438,52957127.24149696,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
253,10/18/2022,0,0,9608478.887054877,60620681.54211668,43451367.89635866,53274454.40986431,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
254,10/19/2022,0,0,9704144.575830387,61024569.67987178,43712357.182072945,53591781.578231655,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
255,10/20/2022,0,0,9799810.264605897,61428457.817626886,43973346.46778723,53909108.746599,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
256,10/21/2022,0,0,9895475.953381406,61832345.95538199,44234335.75350151,54226435.91496635,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
257,10/22/2022,0,0,9991141.642156916,62236234.09313709,44495325.039215796,54543763.0833337,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
258,10/23/2022,0,0,10086807.330932425,62640122.2308922,44756314.32493008,54861090.25170105,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
259,10/24/2022,0,0,10182473.019707935,63044010.3686473,45017303.61064436,55178417.4200684,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
260,10/25/2022,0,0,10278138.708483445,63447898.5064024,45278292.89635865,55495744.58843575,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
261,10/26/2022,0,0,10373804.397258954,63851786.64415751,45539282.18207293,55813071.756803095,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
262,10/27/2022,0,0,10469470.086034464,64255674.78191261,45800271.46778721,56130398.925170444,317327.1683673486,260989.2857142836,403888.1377551034,95665.6887755096,0
263,10/28/2022,0,0,10469470.086034464,64659562.91966771,46061260.7535015,56447726.09353779,317327.1683673486,260989.2857142836,403888.1377551034,0.0,0
264,10/29/2022,0,0,10469470.086034464,65063451.05742282,46322250.03921578,56765053.26190514,317327.1683673486,260989.2857142836,403888.1377551034,0.0,0
